height;crown;place;optimal;reasonable;marginal
1;broad;open_ground;12.6, 18.8, 25.1, 31.4;10, 15.1, 20.1, 25.1;7.5, 11.3, 15.1, 18.8
1;broad;light_load;18.8, 28.3, 37.7, 47.1;15.1, 22.6, 30.1, 37.7;11.3, 17, 22.6, 28.3
1;broad;moderate_load;20.4, 30.6, 40.8, 51;16.3, 24.5, 32.7, 40.8;12.2, 18.4, 24.5, 30.6
1;broad;heavy_load;27.5, 41.2, 55, 68.7;22, 33, 44, 55;16.5, 24.7, 33, 41.2
1;regular;open_ground;8.8, 15.1, 18.8, 22.6;7, 12.1, 15.1, 18.1;5.3, 9, 11.3, 13.6
1;regular;light_load;13.2, 22.6, 28.3, 33.9;10.6, 18.1, 22.6, 27.1;7.9, 13.6, 17, 20.3
1;regular;moderate_load;14.3, 24.5, 30.6, 36.7;11.4, 19.6, 24.5, 29.4;8.6, 14.7, 18.4, 22
1;regular;heavy_load;19.2, 33, 41.2, 49.5;15.4, 26.4, 33, 39.6;11.5, 19.8, 24.7, 29.7
1;small;open_ground;6, 9, 12.1, 15.1;4.8, 7.2, 9.6, 12.1;3.6, 5.4, 7.2, 9
1;small;light_load;9, 13.6, 18.1, 22.6;7.2, 10.9, 14.5, 18.1;5.4, 8.1, 10.9, 13.6
1;small;moderate_load;9.8, 14.7, 19.6, 24.5;7.8, 11.8, 15.7, 19.6;5.9, 8.8, 11.8, 14.7
1;small;heavy_load;13.2, 19.8, 26.4, 33;10.6, 15.8, 21.1, 26.4;7.9, 11.9, 15.8, 19.8
2;broad;open_ground;7.9, 13.6, 17, 20.3;6.3, 10.9, 13.6, 16.3;4.7, 8.1, 10.2, 12.2
2;broad;light_load;11.9, 20.3, 25.4, 30.5;9.5, 16.3, 20.3, 24.4;7.1, 12.2, 15.3, 18.3
2;broad;moderate_load;12.9, 22, 27.6, 33.1;10.3, 17.6, 22, 26.5;7.7, 13.2, 16.5, 19.8
2;broad;heavy_load;17.3, 29.7, 37.1, 44.5;13.8, 23.7, 29.7, 35.6;10.4, 17.8, 22.3, 26.7
2;regular;open_ground;6.3, 8.8, 12.6, 15.1;5, 7, 10, 12.1;3.8, 5.3, 7.5, 9
2;regular;light_load;9.4, 13.2, 18.8, 22.6;7.5, 10.6, 15.1, 18.1;5.7, 7.9, 11.3, 13.6
2;regular;moderate_load;10.2, 14.3, 20.4, 24.5;8.2, 11.4, 16.3, 19.6;6.1, 8.6, 12.2, 14.7
2;regular;heavy_load;13.7, 19.2, 27.5, 33;11, 15.4, 22, 26.4;8.2, 11.5, 16.5, 19.8
2;small;open_ground;4.1, 6.9, 8.3, 11.1;3.3, 5.5, 6.6, 8.8;2.5, 4.1, 5, 6.6
2;small;light_load;6.2, 10.4, 12.4, 16.6;5, 8.3, 9.9, 13.3;3.7, 6.2, 7.5, 9.9
2;small;moderate_load;6.7, 11.2, 13.5, 18;5.4, 9, 10.8, 14.4;4, 6.7, 8.1, 10.8
2;small;heavy_load;9.1, 15.1, 18.1, 24.2;7.3, 12.1, 14.5, 19.3;5.4, 9.1, 10.9, 14.5
3;broad;open_ground;6, 10, 12.1;4.8, 8, 9.6;3.6, 6, 7.2
3;broad;light_load;9, 15.1, 18.1;7.2, 12.1, 14.5;5.4, 9, 10.9
3;broad;moderate_load;9.8, 16.3, 19.6;7.8, 13.1, 15.7;5.9, 9.8, 11.8
3;broad;heavy_load;13.2, 22, 26.4;10.6, 17.6, 21.1;7.9, 13.2, 15.8
3;regular;open_ground;4.5, 6.8, 7.9;3.6, 5.4, 6.3;2.7, 4.1, 4.7
3;regular;light_load;6.8, 10.2, 11.9;5.4, 8.1, 9.5;4.1, 6.1, 7.1
3;regular;moderate_load;7.3, 11, 12.9;5.9, 8.8, 10.3;4.4, 6.6, 7.7
3;regular;heavy_load;9.9, 14.8, 17.3;7.9, 11.9, 13.8;5.9, 8.9, 10.4
3;small;open_ground;3.8, 5, 6.3;3, 4, 5;2.3, 3, 3.8
3;small;light_load;5.7, 7.5, 9.4;4.5, 6, 7.5;3.4, 4.5, 5.7
3;small;moderate_load;6.1, 8.2, 10.2;4.9, 6.5, 8.2;3.7, 4.9, 6.1
3;small;heavy_load;8.2, 11, 13.7;6.6, 8.8, 11;4.9, 6.6, 8.2
