D06736 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06736;
Adres;Warmoestraat 1;
Status;Actief;
Straathoogte;2,35;m + NAP
Bovenkant buis;2,21;m + NAP
Top filter;0,21;m + NAP
Bodem filter;-0,79;m + NAP
Diameter filter;52;mm
x-coördinaat;121797;
y-coördinaat;487704;
;;
;;
datum;meting NAP;
2022-02-02 11:09;0,29;
2021-12-09 09:28;0,36;
2021-09-29 08:35;0,17;
2021-07-26 07:48;0,26;
2021-05-19 09:58;0,21;
2021-03-26 08:12;0,21;
2021-01-22 08:07;0,31;
2020-11-13 11:57;0,32;
2020-09-29 10:09;0,42;
2020-07-09 08:56;0,25;
2020-05-06 14:16;0,24;
2020-04-07 10:06;0,24;
2020-02-10 09:17;0,26;
2019-11-29 08:46;0,31;
2019-09-20 07:19;0,29;
2019-08-07 06:17;0,27;
2019-06-11 08:19;0,37;
2019-03-27 08:27;0,36;
2019-01-30 08:29;0,37;
2018-12-06 11:36;0,33;
2018-10-11 09:24;0,37;
2018-07-23 08:54;0,29;
2018-05-30 09:07;0,34;
2018-03-26 07:24;0,28;
2018-02-01 09:37;0,36;
2017-11-21 10:05;0,31;
2017-10-03 09:59;0,35;
2017-08-17 08:59;0,27;
2017-07-05 07:31;0,27;
2017-02-28 10:59;0,27;
2016-12-20 10:48;0,19;
2016-10-05 08:52;0,15;
2016-08-18 07:19;0,27;
2016-06-15 07:05;0,22;
2016-04-19 08:23;0,16;
2016-02-05 12:28;0,27;
2015-12-10 10:15;0,29;
2015-09-21 07:23;0,37;
2015-07-30 09:01;0,27;
2015-06-17 08:39;0,08;
2015-05-22 06:35;0,12;
2015-03-25 09:58;0,17;
2015-02-06 10:04;0,27;
2014-09-11 07:36;0,30;
2014-07-04 06:57;0,11;
2014-05-21 07:26;0,17;
2014-03-24 14:09;0,16;
2014-01-06 10:45;0,18;
2013-10-04 08:57;0,13;
2013-09-10 09:00;-0,27;
2013-09-03 09:00;-0,02;
2013-08-21 09:00;0,01;
2013-08-08 09:00;0,04;
2013-07-15 09:00;0,12;
2013-07-11 07:19;0,19;
2013-07-08 09:00;0,24;
2013-07-02 09:00;0,23;
2013-06-18 09:00;0,23;
2013-06-13 09:00;0,26;
2013-06-11 09:00;0,33;
2013-05-29 09:00;0,43;
2013-05-23 09:56;0,47;
2013-05-10 09:00;0,60;
2013-05-08 09:00;0,60;
2013-05-06 00:00;0,43;
